"nome_fantasia","data_inicio_atividades","cnae_fiscal","cep","municipio","porte","dist_1","dist_2","dist_3","dist_4"
"PONTO OLIVEIRA","20120314","4781400","46470000","3829","1","NaN","NaN","NaN","NaN"
"PONTOTEC","20031127","4753900","41150000","3849","1","NaN","NaN","NaN","NaN"
"PONTUAL CONTABILIDADE","20000516","6920601","45820140","3117","1","NaN","NaN","NaN","NaN"
"PONTUAL DATA PATRIMONIAL","20080116","6810202","42702400","3685","1","NaN","NaN","NaN","NaN"
"PONTUAL LABORATORIO","20110819","4649499","44090608","3515","3","NaN","NaN","NaN","NaN"
"PONTUAL SERVICOS","20060426","7732201","47850000","1112","3","NaN","NaN","NaN","NaN"
"PONTUAL TEXTIL","19980113","1413402","46430000","3533","1","NaN","NaN","NaN","NaN"
"POP SHOES","19921002","4782201","40421520","3849","1","NaN","NaN","NaN","NaN"
"POP STAR GRILL","19961128","5611203","45990616","3993","1","NaN","NaN","NaN","NaN"
"POPPOZUDA SHOW DE ALEGRIA","20111101","9001901","42700130","3685","1","NaN","NaN","NaN","NaN"
"POR DO SOL EMPREENDIMENTOS","19961107","210101","45980000","3811","1","NaN","NaN","NaN","NaN"
"PORCADAO","20030211","4789099","45105000","3965","3","NaN","NaN","NaN","NaN"
"POROTO - SERVICOS CULTURAIS","20120329","8592999","40425240","3849","1","NaN","NaN","NaN","NaN"
"PORTA DO SOL RESTAURANTE ORIENTAL","19941116","5611201","47800030","3363","1","NaN","NaN","NaN","NaN"
"PORTAL COSMETICOS","20010626","4772500","44900000","3593","1","NaN","NaN","NaN","NaN"
"PORTAL DA BAHIA","20000228","7732201","46350000","3951","1","NaN","NaN","NaN","NaN"
"PORTAL DA CIDADE","20060724","5811500","44250000","3477","1","NaN","NaN","NaN","NaN"
"PORTAL DA CONSTRUCAO E SERVICOS","20110124","4744099","48370000","3511","1","NaN","NaN","NaN","NaN"
"PORTAL DA SORTE II","20020814","8299706","46820000","3265","1","NaN","NaN","NaN","NaN"
"PORTAL DAS BEBIDAS","20081219","4635403","45200565","3661","1","NaN","NaN","NaN","NaN"
"PORTAL DECORACOES","20060420","4759801","41810000","3849","1","NaN","NaN","NaN","NaN"
"PORTAL REPRESENTACOES E CONSULTORIA","20070423","7020400","45000320","3965","1","NaN","NaN","NaN","NaN"
"PORTAL SEG CORRETORA DE SEGUROS","20081030","6622300","45000580","3965","1","NaN","NaN","NaN","NaN"
"PORTAL WANET","20060306","6190601","48907150","3669","1","NaN","NaN","NaN","NaN"
"PORTALMIX ALIANCA","20100921","4772500","45400000","3957","1","NaN","NaN","NaN","NaN"
"PORTALSAT","20061018","6209100","45000525","3965","3","NaN","NaN","NaN","NaN"
"PORTALSAT","20110726","6190601","46430000","3533","3","NaN","NaN","NaN","NaN"
"PORTAO 7","19990721","5611203","45810000","3807","1","NaN","NaN","NaN","NaN"
"PORTAO CHAVES E FOGOES","20080718","4757100","42713480","3685","1","NaN","NaN","NaN","NaN"
"PORTEIRA AGRICOLA","20090423","4789099","45360000","3711","1","NaN","NaN","NaN","NaN"
